asn,org,country,total_prefixes,signal_count,source_count,vpn_signals,tor_signals,malware_signals,drop_list_signals,phishing_signals,public_feed_signals,public_feed_overlap,signal_density,confidence,sources
23468,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
25796,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
26222,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
30135,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
30520,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
30575,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
31792,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
32476,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
35106,Microsoft Limited,GB,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
36006,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
40066,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
46182,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
46652,DigitalOcean LLC,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
54396,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
62567,DigitalOcean LLC,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
63245,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
63314,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
133165,Digital Ocean Inc.,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
135340,Digital Ocean Inc.,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
393406,DigitalOcean LLC,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
394362,DigitalOcean LLC,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
395496,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
395524,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
395851,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
396463,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
397096,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
397466,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
397996,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398575,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398656,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398657,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398658,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398659,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398660,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398661,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
398961,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400572,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400573,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400574,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400575,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400576,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400577,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400578,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400579,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400580,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400581,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400582,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
400884,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
29222,Infomaniak Network SA,CH,0,61,1,0,61,0,0,0,0,1,61.0000,low,tor-radar-network
40045,Amazon.com Inc.,US,0,61,1,0,0,0,0,0,61,1,61.0000,low,bad-cidrs-v4
44298,Mobene GmbH & Co. KG,DE,0,61,1,0,0,0,0,0,61,1,61.0000,low,bad-cidrs-v4
52048,RIXHOST,LV,0,61,2,38,23,0,0,0,0,2,61.0000,low,"asn-vpn-multi-provider,tor-radar-network"
58065,PACKETEXCHANGE,GB,0,61,1,61,0,0,0,0,0,1,61.0000,low,asn-vpn-multi-provider
399834,Amazon.com Inc.,US,0,61,1,0,0,0,0,0,61,1,61.0000,low,bad-cidrs-v4
399945,Aisanie Web Solution Inc,US,0,61,1,0,0,0,0,0,61,1,61.0000,low,bad-cidrs-v4
399991,Amazon Web Services Inc.,US,0,61,1,0,0,0,0,0,61,1,61.0000,low,bad-cidrs-v4
7416,UNICOM,US,0,59,1,0,0,0,0,0,59,1,59.0000,low,bad-cidrs-v4
9800,CHINA UNICOM,CN,0,59,1,0,0,0,0,0,59,1,59.0000,low,bad-cidrs-v4
25425,SCF MANAGEMENT SERVICES (CYPRUS) LTD,CY,0,59,1,0,0,0,0,0,59,1,59.0000,low,bad-cidrs-v4
64469,Neva Technology LLC,RU,0,59,1,0,0,0,0,0,59,1,59.0000,low,bad-cidrs-v4
132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,MY,0,59,1,59,0,0,0,0,0,1,59.0000,low,asn-vpn-multi-provider
205620,Unicom-Telecom d.o.o.,RS,0,59,1,0,0,0,0,0,59,1,59.0000,low,bad-cidrs-v4
394256,CLOUDSINGULARITY,CA,0,59,1,59,0,0,0,0,0,1,59.0000,low,asn-vpn-multi-provider
7922,"Comcast Cable Communications, LLC",US,0,57,1,0,57,0,0,0,0,1,57.0000,low,tor-radar-network
200019,ALEXHOST,MD,0,57,3,5,38,0,0,0,14,3,57.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
211619,MAXKO d.o.o.,RS,0,57,2,0,56,0,1,0,0,2,57.0000,low,"spamhaus-asndrop,tor-radar-network"
7018,"AT&T Enterprises, LLC",US,0,53,1,0,53,0,0,0,0,1,53.0000,low,tor-radar-network
133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,AU,0,53,1,53,0,0,0,0,0,1,53.0000,low,asn-vpn-multi-provider
45671,AS45671-NET-AU Wholesale Services Provider,AU,0,52,1,52,0,0,0,0,0,1,52.0000,low,asn-vpn-multi-provider
3209,Vodafone GmbH,DE,0,51,1,0,51,0,0,0,0,1,51.0000,low,tor-radar-network
4766,KIXS-AS-KR Korea Telecom,KR,0,51,3,25,7,0,0,0,19,3,51.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,DE,0,51,3,23,27,0,0,0,1,3,51.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
63018,DEDICATED,US,0,51,2,48,3,0,0,0,0,2,51.0000,low,"asn-vpn-multi-provider,tor-radar-network"
1205,University Linz,AT,0,50,1,0,50,0,0,0,0,1,50.0000,low,tor-radar-network
29802,HVC-AS,US,0,50,2,13,37,0,0,0,0,2,50.0000,low,"asn-vpn-multi-provider,tor-radar-network"
43357,OWL Owl Limited,VU,0,50,2,44,0,0,0,0,6,2,50.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
61272,IST-AS,LT,0,49,2,44,5,0,0,0,0,2,49.0000,low,"asn-vpn-multi-provider,tor-radar-network"
20278,NEXEON,US,0,48,1,48,0,0,0,0,0,1,48.0000,low,asn-vpn-multi-provider
46562,PERFORMIVE,US,0,48,1,48,0,0,0,0,0,1,48.0000,low,asn-vpn-multi-provider
197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",AL,0,48,2,45,3,0,0,0,0,2,48.0000,low,"asn-vpn-multi-provider,tor-radar-network"
57169,EDIS-AS-EU,AT,0,45,2,42,3,0,0,0,0,2,45.0000,low,"asn-vpn-multi-provider,tor-radar-network"
45179,SITEHOST-AS-AP SiteHost New Zealand,NZ,0,44,1,44,0,0,0,0,0,1,44.0000,low,asn-vpn-multi-provider
12322,Free SAS,FR,0,41,2,0,37,0,0,0,4,2,41.0000,low,"bad-cidrs-v4,tor-radar-network"
46475,LIMESTONENETWORKS,US,0,40,2,34,6,0,0,0,0,2,40.0000,low,"asn-vpn-multi-provider,tor-radar-network"
211507,Julian Achter,BG,0,40,2,0,39,0,1,0,0,2,40.0000,low,"spamhaus-asndrop,tor-radar-network"
701,Verizon Business,US,0,39,1,0,39,0,0,0,0,1,39.0000,low,tor-radar-network
28753,LEASEWEB-DE-FRA-10,DE,0,39,2,22,17,0,0,0,0,2,39.0000,low,"asn-vpn-multi-provider,tor-radar-network"
41281,KeFF Networks Ltd,SE,0,39,1,0,39,0,0,0,0,1,39.0000,low,tor-radar-network
40861,PARAD-40-ASN,US,0,38,1,38,0,0,0,0,0,1,38.0000,low,asn-vpn-multi-provider
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",US,0,38,2,9,29,0,0,0,0,2,38.0000,low,"asn-vpn-multi-provider,tor-radar-network"
141995,Contabo Asia Private Limited,SG,0,38,1,0,38,0,0,0,0,1,38.0000,low,tor-radar-network
26832,Rica Web Services,CA,0,37,1,0,37,0,0,0,0,1,37.0000,low,tor-radar-network
3462,HINET Data Communication Business Group,TW,0,36,3,13,13,0,0,0,10,3,36.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
534452,Contabo Inc.,US,0,36,1,0,0,0,0,0,36,1,36.0000,low,bad-cidrs-v4
16509,AMAZON-02,US,0,35,2,20,15,0,0,0,0,2,35.0000,low,"asn-vpn-multi-provider,tor-radar-network"
202422,GHOST,LU,0,35,2,16,19,0,0,0,0,2,35.0000,low,"asn-vpn-multi-provider,tor-radar-network"
215659,Aokigahara SRL,NL,0,35,1,0,35,0,0,0,0,1,35.0000,low,tor-radar-network
207990,HR-CUSTOMER,IN,0,34,1,34,0,0,0,0,0,1,34.0000,low,asn-vpn-multi-provider
263812,SONDATECH S.A.S.,AR,0,34,2,24,10,0,0,0,0,2,34.0000,low,"asn-vpn-multi-provider,tor-radar-network"
58325,BANDWIDTH-ASIA,GB,0,32,2,31,0,0,0,0,1,2,32.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
64102,Oracle Corporation,CR,0,32,1,0,0,0,0,0,32,1,32.0000,low,bad-cidrs-v4
31103,KEYWEB-AS,DE,0,31,2,10,21,0,0,0,0,2,31.0000,low,"asn-vpn-multi-provider,tor-radar-network"
50304,BLIX,NO,0,31,3,29,1,0,0,0,1,3,31.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
40021,Contabo Inc.,US,0,30,2,0,12,0,0,0,18,2,30.0000,low,"bad-cidrs-v4,tor-radar-network"
52423,Data Miners S.A.  Racknation.cr,CR,0,30,2,27,3,0,0,0,0,2,30.0000,low,"asn-vpn-multi-provider,tor-radar-network"
13030,Init7 (Switzerland) Ltd.,CH,0,29,1,0,29,0,0,0,0,1,29.0000,low,tor-radar-network
56630,MELBICOM-EU-AS Melbikomas UAB,LT,0,29,2,24,5,0,0,0,0,2,29.0000,low,"asn-vpn-multi-provider,tor-radar-network"
204957,GREENFLOID-AS,US,0,29,2,18,11,0,0,0,0,2,29.0000,low,"asn-vpn-multi-provider,tor-radar-network"
3257,GTT-BACKBONE GTT,US,0,28,2,27,1,0,0,0,0,2,28.0000,low,"asn-vpn-multi-provider,tor-radar-network"
44679,BINBOX-GLOBAL-SERVICES,RO,0,28,2,27,1,0,0,0,0,2,28.0000,low,"asn-vpn-multi-provider,tor-radar-network"
48337,Linode LLC,US,0,28,1,0,0,0,0,0,28,1,28.0000,low,bad-cidrs-v4
51396,Pfcloud UG (haftungsbeschrankt),NL,0,28,3,0,21,0,1,0,6,3,28.0000,medium,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,HK,0,28,1,28,0,0,0,0,0,1,28.0000,low,asn-vpn-multi-provider
8473,BAHNHOF,SE,0,27,3,9,17,0,0,0,1,3,27.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
35540,OVH SAS,FR,0,27,1,0,0,0,0,0,27,1,27.0000,low,bad-cidrs-v4
41075,ATW-AS,HU,0,27,2,2,25,0,0,0,0,2,27.0000,low,"asn-vpn-multi-provider,tor-radar-network"
44925,1984 ehf,IS,0,27,1,0,27,0,0,0,0,1,27.0000,low,tor-radar-network
138915,KAOPU-HK Kaopu Cloud HK Limited,CN,0,27,3,19,7,0,1,0,0,3,27.0000,medium,"asn-vpn-multi-provider,spamhaus-asndrop,tor-radar-network"
215540,GCS-AS,GB,0,27,2,6,21,0,0,0,0,2,27.0000,low,"asn-vpn-multi-provider,tor-radar-network"
328364,Host-Africa-AS,ZA,0,27,2,17,10,0,0,0,0,2,27.0000,low,"asn-vpn-multi-provider,tor-radar-network"
32097,WII,US,0,26,2,24,2,0,0,0,0,2,26.0000,low,"asn-vpn-multi-provider,tor-radar-network"
45899,VNPT-AS-VN VNPT Corp,VN,0,26,3,17,1,0,0,0,8,3,26.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
46450,PILOT,US,0,26,1,26,0,0,0,0,0,1,26.0000,low,asn-vpn-multi-provider
50613,THORDC-AS,IS,0,26,2,17,9,0,0,0,0,2,26.0000,low,"asn-vpn-multi-provider,tor-radar-network"
